text,word,language,pair_type,domain,author,meaning
"In considering nature, Lactantius argues that intellectus is fundamental to understanding reality.",intellectus,latin,etymological,philosophy,Lactantius,"mind, intellect"
"In considering truth, Macrobius argues that intellectus is fundamental to understanding reality.",intellectus,latin,etymological,philosophy,Macrobius,"mind, intellect"
Seneca shows how intellectus transcends mere matter.,intellectus,latin,etymological,metaphysics,Seneca,"mind, intellect"
Varro defines intellectus as the principle underlying soul.,intellectus,latin,etymological,philosophy,Varro,"mind, intellect"
Macrobius's analysis reveals intellectus as the foundation of substance.,intellectus,latin,etymological,metaphysics,Macrobius,"mind, intellect"
Marcus Aurelius's analysis reveals intellectus as the foundation of essence.,intellectus,latin,etymological,metaphysics,Marcus Aurelius,"mind, intellect"
"The essence of intellectus manifests in plurality, as Cicero demonstrates.",intellectus,latin,etymological,metaphysics,Cicero,"mind, intellect"
"When discussing truth, Cicero emphasizes how intellectus relates to human knowledge.",intellectus,latin,etymological,philosophy,Cicero,"mind, intellect"
The metaphysical status of intellectus determines our grasp of time.,intellectus,latin,etymological,metaphysics,Boethius,"mind, intellect"
The nature of intellectus plays a central role in Boethius's theory of justice.,intellectus,latin,etymological,philosophy,Boethius,"mind, intellect"
Quintilian's analysis reveals intellectus as the foundation of form.,intellectus,latin,etymological,metaphysics,Quintilian,"mind, intellect"
Cicero shows how intellectus transcends mere unity.,intellectus,latin,etymological,metaphysics,Cicero,"mind, intellect"
Varro shows how intellectus transcends mere causation.,intellectus,latin,etymological,metaphysics,Varro,"mind, intellect"
"In considering reality, Seneca argues that intellectus is fundamental to understanding reality.",intellectus,latin,etymological,philosophy,Seneca,"mind, intellect"
"Through intellectus, we can understand the true nature of plurality.",intellectus,latin,etymological,metaphysics,Lactantius,"mind, intellect"
Augustine's analysis reveals intellectus as the foundation of matter.,intellectus,latin,etymological,metaphysics,Augustine,"mind, intellect"
"Through intellectus, we can understand the true nature of plurality.",intellectus,latin,etymological,metaphysics,Cicero,"mind, intellect"
The metaphysical status of intellectus determines our grasp of substance.,intellectus,latin,etymological,metaphysics,Seneca,"mind, intellect"
The relationship between intellectus and mind is explored in Lactantius's work.,intellectus,latin,etymological,philosophy,Lactantius,"mind, intellect"
Lucretius defines intellectus as the principle underlying reality.,intellectus,latin,etymological,philosophy,Lucretius,"mind, intellect"
Boethius defines intellectus as the principle underlying nature.,intellectus,latin,etymological,philosophy,Boethius,"mind, intellect"
"Through intellectus, we can understand the true nature of time.",intellectus,latin,etymological,metaphysics,Marcus Aurelius,"mind, intellect"
Lucretius defines intellectus as the principle underlying knowledge.,intellectus,latin,etymological,philosophy,Lucretius,"mind, intellect"
The nature of intellectus plays a central role in Cicero's theory of wisdom.,intellectus,latin,etymological,philosophy,Cicero,"mind, intellect"
"When discussing soul, Augustine emphasizes how intellectus relates to human knowledge.",intellectus,latin,etymological,philosophy,Augustine,"mind, intellect"
"In considering knowledge, Augustine argues that intellectus is fundamental to understanding reality.",intellectus,latin,etymological,philosophy,Augustine,"mind, intellect"
The relationship between intellectus and truth is explored in Macrobius's work.,intellectus,latin,etymological,philosophy,Macrobius,"mind, intellect"
"Through intellectus, we can understand the true nature of essence.",intellectus,latin,etymological,metaphysics,Lucretius,"mind, intellect"
"When discussing justice, Seneca emphasizes how intellectus relates to human knowledge.",intellectus,latin,etymological,philosophy,Seneca,"mind, intellect"
The relationship between intellectus and truth is explored in Quintilian's work.,intellectus,latin,etymological,philosophy,Quintilian,"mind, intellect"
"In considering knowledge, Quintilian argues that intellectus is fundamental to understanding reality.",intellectus,latin,etymological,philosophy,Quintilian,"mind, intellect"
Boethius defines intellectus as the principle underlying mind.,intellectus,latin,etymological,philosophy,Boethius,"mind, intellect"
"True virtue requires understanding of ἀρετή, as Plotinus explains.",ἀρετή,greek,etymological,ethics,Plotinus,"virtue, excellence"
Epicurus considers ἀρετή essential to achieving friendship.,ἀρετή,greek,etymological,ethics,Epicurus,"virtue, excellence"
"The practice of ἀρετή leads to temperance, according to Plato.",ἀρετή,greek,etymological,ethics,Plato,"virtue, excellence"
"In Aristotle's ethical theory, ἀρετή guides us toward courage.",ἀρετή,greek,etymological,ethics,Aristotle,"virtue, excellence"
"In Zeno's ethical theory, ἀρετή guides us toward temperance.",ἀρετή,greek,etymological,ethics,Zeno,"virtue, excellence"
Epicurus considers ἀρετή essential to achieving justice.,ἀρετή,greek,etymological,ethics,Epicurus,"virtue, excellence"
"The practice of ἀρετή leads to justice, according to Pythagoras.",ἀρετή,greek,etymological,ethics,Pythagoras,"virtue, excellence"
"True happiness requires understanding of ἀρετή, as Chrysippus explains.",ἀρετή,greek,etymological,ethics,Chrysippus,"virtue, excellence"
"In Epicurus's ethical theory, ἀρετή guides us toward goodness.",ἀρετή,greek,etymological,ethics,Epicurus,"virtue, excellence"
"True courage requires understanding of ἀρετή, as Parmenides explains.",ἀρετή,greek,etymological,ethics,Parmenides,"virtue, excellence"
"The practice of ἀρετή leads to happiness, according to Zeno.",ἀρετή,greek,etymological,ethics,Zeno,"virtue, excellence"
"The practice of ἀρετή leads to goodness, according to Plato.",ἀρετή,greek,etymological,ethics,Plato,"virtue, excellence"
Democritus teaches that ἀρετή is necessary for virtue.,ἀρετή,greek,etymological,ethics,Democritus,"virtue, excellence"
Aristotle considers ἀρετή essential to achieving duty.,ἀρετή,greek,etymological,ethics,Aristotle,"virtue, excellence"
"The practice of ἀρετή leads to goodness, according to Heraclitus.",ἀρετή,greek,etymological,ethics,Heraclitus,"virtue, excellence"
"True temperance requires understanding of ἀρετή, as Aristotle explains.",ἀρετή,greek,etymological,ethics,Aristotle,"virtue, excellence"
"In Chrysippus's ethical theory, ἀρετή guides us toward courage.",ἀρετή,greek,etymological,ethics,Chrysippus,"virtue, excellence"
Heraclitus considers ἀρετή essential to achieving friendship.,ἀρετή,greek,etymological,ethics,Heraclitus,"virtue, excellence"
Epicurus considers ἀρετή essential to achieving justice.,ἀρετή,greek,etymological,ethics,Epicurus,"virtue, excellence"
"The practice of ἀρετή leads to excellence, according to Plotinus.",ἀρετή,greek,etymological,ethics,Plotinus,"virtue, excellence"
"In Heraclitus's ethical theory, ἀρετή guides us toward goodness.",ἀρετή,greek,etymological,ethics,Heraclitus,"virtue, excellence"
Pythagoras considers ἀρετή essential to achieving goodness.,ἀρετή,greek,etymological,ethics,Pythagoras,"virtue, excellence"
Epicurus teaches that ἀρετή is necessary for goodness.,ἀρετή,greek,etymological,ethics,Epicurus,"virtue, excellence"
"The practice of ἀρετή leads to excellence, according to Epicurus.",ἀρετή,greek,etymological,ethics,Epicurus,"virtue, excellence"
Chrysippus teaches that ἀρετή is necessary for duty.,ἀρετή,greek,etymological,ethics,Chrysippus,"virtue, excellence"
"The practice of ἀρετή leads to courage, according to Chrysippus.",ἀρετή,greek,etymological,ethics,Chrysippus,"virtue, excellence"
"The practice of ἀρετή leads to excellence, according to Chrysippus.",ἀρετή,greek,etymological,ethics,Chrysippus,"virtue, excellence"
"True duty requires understanding of ἀρετή, as Pythagoras explains.",ἀρετή,greek,etymological,ethics,Pythagoras,"virtue, excellence"
"The practice of ἀρετή leads to friendship, according to Zeno.",ἀρετή,greek,etymological,ethics,Zeno,"virtue, excellence"
"The practice of ἀρετή leads to courage, according to Aristotle.",ἀρετή,greek,etymological,ethics,Aristotle,"virtue, excellence"
"The practice of ἀρετή leads to duty, according to Democritus.",ἀρετή,greek,etymological,ethics,Democritus,"virtue, excellence"
"The practice of ἀρετή leads to temperance, according to Epicurus.",ἀρετή,greek,etymological,ethics,Epicurus,"virtue, excellence"
Pythagoras teaches that ἀρετή is necessary for justice.,ἀρετή,greek,etymological,ethics,Pythagoras,"virtue, excellence"
Chrysippus considers ἀρετή essential to achieving temperance.,ἀρετή,greek,etymological,ethics,Chrysippus,"virtue, excellence"
Epicurus considers ἀρετή essential to achieving virtue.,ἀρετή,greek,etymological,ethics,Epicurus,"virtue, excellence"
Zeno considers ἀρετή essential to achieving wisdom.,ἀρετή,greek,etymological,ethics,Zeno,"virtue, excellence"
"True duty requires understanding of ἀρετή, as Parmenides explains.",ἀρετή,greek,etymological,ethics,Parmenides,"virtue, excellence"
"The practice of ἀρετή leads to friendship, according to Aristotle.",ἀρετή,greek,etymological,ethics,Aristotle,"virtue, excellence"
"In Heraclitus's ethical theory, ἀρετή guides us toward virtue.",ἀρετή,greek,etymological,ethics,Heraclitus,"virtue, excellence"
"In Plato's ethical theory, ἀρετή guides us toward happiness.",ἀρετή,greek,etymological,ethics,Plato,"virtue, excellence"
Plato teaches that ἀρετή is necessary for goodness.,ἀρετή,greek,etymological,ethics,Plato,"virtue, excellence"
"In Zeno's ethical theory, ἀρετή guides us toward friendship.",ἀρετή,greek,etymological,ethics,Zeno,"virtue, excellence"
"True courage requires understanding of ἀρετή, as Plotinus explains.",ἀρετή,greek,etymological,ethics,Plotinus,"virtue, excellence"
Plotinus considers ἀρετή essential to achieving friendship.,ἀρετή,greek,etymological,ethics,Plotinus,"virtue, excellence"
"In Aristotle's ethical theory, ἀρετή guides us toward courage.",ἀρετή,greek,etymological,ethics,Aristotle,"virtue, excellence"
"In Heraclitus's ethical theory, ἀρετή guides us toward temperance.",ἀρετή,greek,etymological,ethics,Heraclitus,"virtue, excellence"
Aristotle considers ἀρετή essential to achieving duty.,ἀρετή,greek,etymological,ethics,Aristotle,"virtue, excellence"
Plato teaches that ἀρετή is necessary for temperance.,ἀρετή,greek,etymological,ethics,Plato,"virtue, excellence"
"The practice of ἀρετή leads to temperance, according to Zeno.",ἀρετή,greek,etymological,ethics,Zeno,"virtue, excellence"
"The practice of ἀρετή leads to goodness, according to Democritus.",ἀρετή,greek,etymological,ethics,Democritus,"virtue, excellence"
"The practice of virtus leads to justice, according to Augustine.",virtus,latin,etymological,ethics,Augustine,"virtue, excellence"
Macrobius considers virtus essential to achieving excellence.,virtus,latin,etymological,ethics,Macrobius,"virtue, excellence"
"The practice of virtus leads to wisdom, according to Varro.",virtus,latin,etymological,ethics,Varro,"virtue, excellence"
"The practice of virtus leads to wisdom, according to Cicero.",virtus,latin,etymological,ethics,Cicero,"virtue, excellence"
"True justice requires understanding of virtus, as Varro explains.",virtus,latin,etymological,ethics,Varro,"virtue, excellence"
"True temperance requires understanding of virtus, as Macrobius explains.",virtus,latin,etymological,ethics,Macrobius,"virtue, excellence"
"True virtue requires understanding of virtus, as Marcus Aurelius explains.",virtus,latin,etymological,ethics,Marcus Aurelius,"virtue, excellence"
Quintilian teaches that virtus is necessary for justice.,virtus,latin,etymological,ethics,Quintilian,"virtue, excellence"
Lactantius considers virtus essential to achieving justice.,virtus,latin,etymological,ethics,Lactantius,"virtue, excellence"
"In Varro's ethical theory, virtus guides us toward friendship.",virtus,latin,etymological,ethics,Varro,"virtue, excellence"
"The practice of virtus leads to happiness, according to Lactantius.",virtus,latin,etymological,ethics,Lactantius,"virtue, excellence"
Macrobius teaches that virtus is necessary for wisdom.,virtus,latin,etymological,ethics,Macrobius,"virtue, excellence"
"True courage requires understanding of virtus, as Quintilian explains.",virtus,latin,etymological,ethics,Quintilian,"virtue, excellence"
"The practice of virtus leads to temperance, according to Varro.",virtus,latin,etymological,ethics,Varro,"virtue, excellence"
"The practice of virtus leads to wisdom, according to Lactantius.",virtus,latin,etymological,ethics,Lactantius,"virtue, excellence"
"The practice of virtus leads to justice, according to Varro.",virtus,latin,etymological,ethics,Varro,"virtue, excellence"
Lucretius considers virtus essential to achieving excellence.,virtus,latin,etymological,ethics,Lucretius,"virtue, excellence"
"True friendship requires understanding of virtus, as Lactantius explains.",virtus,latin,etymological,ethics,Lactantius,"virtue, excellence"
"True friendship requires understanding of virtus, as Quintilian explains.",virtus,latin,etymological,ethics,Quintilian,"virtue, excellence"
"The practice of virtus leads to justice, according to Lucretius.",virtus,latin,etymological,ethics,Lucretius,"virtue, excellence"
Lucretius considers virtus essential to achieving justice.,virtus,latin,etymological,ethics,Lucretius,"virtue, excellence"
Boethius considers virtus essential to achieving wisdom.,virtus,latin,etymological,ethics,Boethius,"virtue, excellence"
"The practice of virtus leads to happiness, according to Cicero.",virtus,latin,etymological,ethics,Cicero,"virtue, excellence"
Augustine considers virtus essential to achieving wisdom.,virtus,latin,etymological,ethics,Augustine,"virtue, excellence"
"In Boethius's ethical theory, virtus guides us toward justice.",virtus,latin,etymological,ethics,Boethius,"virtue, excellence"
"In Lucretius's ethical theory, virtus guides us toward duty.",virtus,latin,etymological,ethics,Lucretius,"virtue, excellence"
Lucretius teaches that virtus is necessary for excellence.,virtus,latin,etymological,ethics,Lucretius,"virtue, excellence"
Marcus Aurelius teaches that virtus is necessary for justice.,virtus,latin,etymological,ethics,Marcus Aurelius,"virtue, excellence"
"True goodness requires understanding of virtus, as Varro explains.",virtus,latin,etymological,ethics,Varro,"virtue, excellence"
Boethius teaches that virtus is necessary for justice.,virtus,latin,etymological,ethics,Boethius,"virtue, excellence"
"True friendship requires understanding of virtus, as Quintilian explains.",virtus,latin,etymological,ethics,Quintilian,"virtue, excellence"
"In Boethius's ethical theory, virtus guides us toward friendship.",virtus,latin,etymological,ethics,Boethius,"virtue, excellence"
"In Seneca's ethical theory, virtus guides us toward courage.",virtus,latin,etymological,ethics,Seneca,"virtue, excellence"
Macrobius considers virtus essential to achieving courage.,virtus,latin,etymological,ethics,Macrobius,"virtue, excellence"
Seneca teaches that virtus is necessary for courage.,virtus,latin,etymological,ethics,Seneca,"virtue, excellence"
"The practice of virtus leads to justice, according to Lucretius.",virtus,latin,etymological,ethics,Lucretius,"virtue, excellence"
"The practice of virtus leads to justice, according to Macrobius.",virtus,latin,etymological,ethics,Macrobius,"virtue, excellence"
"True excellence requires understanding of virtus, as Boethius explains.",virtus,latin,etymological,ethics,Boethius,"virtue, excellence"
"True virtue requires understanding of virtus, as Lucretius explains.",virtus,latin,etymological,ethics,Lucretius,"virtue, excellence"
Lucretius considers virtus essential to achieving friendship.,virtus,latin,etymological,ethics,Lucretius,"virtue, excellence"
"The practice of virtus leads to excellence, according to Boethius.",virtus,latin,etymological,ethics,Boethius,"virtue, excellence"
"In Lactantius's ethical theory, virtus guides us toward justice.",virtus,latin,etymological,ethics,Lactantius,"virtue, excellence"
"True excellence requires understanding of virtus, as Boethius explains.",virtus,latin,etymological,ethics,Boethius,"virtue, excellence"
Varro teaches that virtus is necessary for duty.,virtus,latin,etymological,ethics,Varro,"virtue, excellence"
"In Lactantius's ethical theory, virtus guides us toward duty.",virtus,latin,etymological,ethics,Lactantius,"virtue, excellence"
"True courage requires understanding of virtus, as Varro explains.",virtus,latin,etymological,ethics,Varro,"virtue, excellence"
"True duty requires understanding of virtus, as Lucretius explains.",virtus,latin,etymological,ethics,Lucretius,"virtue, excellence"
"The practice of virtus leads to excellence, according to Seneca.",virtus,latin,etymological,ethics,Seneca,"virtue, excellence"
"The practice of virtus leads to friendship, according to Varro.",virtus,latin,etymological,ethics,Varro,"virtue, excellence"
Lucretius teaches that virtus is necessary for happiness.,virtus,latin,etymological,ethics,Lucretius,"virtue, excellence"
Plotinus defines φύσις as the principle underlying wisdom.,φύσις,greek,etymological,philosophy,Plotinus,nature
"When discussing being, Pythagoras emphasizes how φύσις relates to human knowledge.",φύσις,greek,etymological,philosophy,Pythagoras,nature
"When discussing being, Epicurus emphasizes how φύσις relates to human knowledge.",φύσις,greek,etymological,philosophy,Epicurus,nature
Epicurus defines φύσις as the principle underlying virtue.,φύσις,greek,etymological,philosophy,Epicurus,nature
Plato shows how φύσις transcends mere substance.,φύσις,greek,etymological,metaphysics,Plato,nature
The nature of φύσις plays a central role in Aristotle's theory of reality.,φύσις,greek,etymological,philosophy,Aristotle,nature
Plato defines φύσις as the principle underlying soul.,φύσις,greek,etymological,philosophy,Plato,nature
"In considering soul, Democritus argues that φύσις is fundamental to understanding reality.",φύσις,greek,etymological,philosophy,Democritus,nature
The relationship between φύσις and virtue is explored in Democritus's work.,φύσις,greek,etymological,philosophy,Democritus,nature
The metaphysical status of φύσις determines our grasp of space.,φύσις,greek,etymological,metaphysics,Democritus,nature
"The essence of φύσις manifests in matter, as Pythagoras demonstrates.",φύσις,greek,etymological,metaphysics,Pythagoras,nature
"In considering justice, Heraclitus argues that φύσις is fundamental to understanding reality.",φύσις,greek,etymological,philosophy,Heraclitus,nature
"Through φύσις, we can understand the true nature of space.",φύσις,greek,etymological,metaphysics,Plato,nature
"In considering wisdom, Parmenides argues that φύσις is fundamental to understanding reality.",φύσις,greek,etymological,philosophy,Parmenides,nature
Heraclitus defines φύσις as the principle underlying virtue.,φύσις,greek,etymological,philosophy,Heraclitus,nature
"Through φύσις, we can understand the true nature of substance.",φύσις,greek,etymological,metaphysics,Aristotle,nature
Democritus shows how φύσις transcends mere substance.,φύσις,greek,etymological,metaphysics,Democritus,nature
"The essence of φύσις manifests in essence, as Epicurus demonstrates.",φύσις,greek,etymological,metaphysics,Epicurus,nature
The metaphysical status of φύσις determines our grasp of causation.,φύσις,greek,etymological,metaphysics,Plato,nature
"The essence of φύσις manifests in existence, as Aristotle demonstrates.",φύσις,greek,etymological,metaphysics,Aristotle,nature
The nature of φύσις plays a central role in Epicurus's theory of mind.,φύσις,greek,etymological,philosophy,Epicurus,nature
Plotinus's analysis reveals φύσις as the foundation of causation.,φύσις,greek,etymological,metaphysics,Plotinus,nature
"In considering wisdom, Chrysippus argues that φύσις is fundamental to understanding reality.",φύσις,greek,etymological,philosophy,Chrysippus,nature
Epicurus shows how φύσις transcends mere space.,φύσις,greek,etymological,metaphysics,Epicurus,nature
"Through φύσις, we can understand the true nature of plurality.",φύσις,greek,etymological,metaphysics,Chrysippus,nature
"The essence of φύσις manifests in substance, as Parmenides demonstrates.",φύσις,greek,etymological,metaphysics,Parmenides,nature
The nature of φύσις plays a central role in Zeno's theory of soul.,φύσις,greek,etymological,philosophy,Zeno,nature
"The essence of φύσις manifests in existence, as Pythagoras demonstrates.",φύσις,greek,etymological,metaphysics,Pythagoras,nature
Pythagoras defines φύσις as the principle underlying truth.,φύσις,greek,etymological,philosophy,Pythagoras,nature
Epicurus defines φύσις as the principle underlying knowledge.,φύσις,greek,etymological,philosophy,Epicurus,nature
The metaphysical status of φύσις determines our grasp of matter.,φύσις,greek,etymological,metaphysics,Epicurus,nature
Democritus defines φύσις as the principle underlying nature.,φύσις,greek,etymological,philosophy,Democritus,nature
Chrysippus shows how φύσις transcends mere causation.,φύσις,greek,etymological,metaphysics,Chrysippus,nature
Epicurus shows how φύσις transcends mere time.,φύσις,greek,etymological,metaphysics,Epicurus,nature
The nature of φύσις plays a central role in Epicurus's theory of knowledge.,φύσις,greek,etymological,philosophy,Epicurus,nature
"The essence of φύσις manifests in plurality, as Aristotle demonstrates.",φύσις,greek,etymological,metaphysics,Aristotle,nature
"The essence of φύσις manifests in time, as Aristotle demonstrates.",φύσις,greek,etymological,metaphysics,Aristotle,nature
The relationship between φύσις and virtue is explored in Democritus's work.,φύσις,greek,etymological,philosophy,Democritus,nature
Pythagoras's analysis reveals φύσις as the foundation of unity.,φύσις,greek,etymological,metaphysics,Pythagoras,nature
Parmenides's analysis reveals φύσις as the foundation of space.,φύσις,greek,etymological,metaphysics,Parmenides,nature
Epicurus shows how φύσις transcends mere plurality.,φύσις,greek,etymological,metaphysics,Epicurus,nature
Zeno defines φύσις as the principle underlying knowledge.,φύσις,greek,etymological,philosophy,Zeno,nature
"When discussing nature, Chrysippus emphasizes how φύσις relates to human knowledge.",φύσις,greek,etymological,philosophy,Chrysippus,nature
The nature of φύσις plays a central role in Zeno's theory of truth.,φύσις,greek,etymological,philosophy,Zeno,nature
"The essence of φύσις manifests in substance, as Democritus demonstrates.",φύσις,greek,etymological,metaphysics,Democritus,nature
Heraclitus's analysis reveals φύσις as the foundation of existence.,φύσις,greek,etymological,metaphysics,Heraclitus,nature
The metaphysical status of φύσις determines our grasp of plurality.,φύσις,greek,etymological,metaphysics,Aristotle,nature
"When discussing being, Pythagoras emphasizes how φύσις relates to human knowledge.",φύσις,greek,etymological,philosophy,Pythagoras,nature
The nature of φύσις plays a central role in Chrysippus's theory of reality.,φύσις,greek,etymological,philosophy,Chrysippus,nature
Parmenides's analysis reveals φύσις as the foundation of matter.,φύσις,greek,etymological,metaphysics,Parmenides,nature
"When discussing wisdom, Marcus Aurelius emphasizes how natura relates to human knowledge.",natura,latin,etymological,philosophy,Marcus Aurelius,nature
Varro defines natura as the principle underlying wisdom.,natura,latin,etymological,philosophy,Varro,nature
The relationship between natura and reality is explored in Quintilian's work.,natura,latin,etymological,philosophy,Quintilian,nature
Varro defines natura as the principle underlying soul.,natura,latin,etymological,philosophy,Varro,nature
Cicero's analysis reveals natura as the foundation of time.,natura,latin,etymological,metaphysics,Cicero,nature
Quintilian's analysis reveals natura as the foundation of time.,natura,latin,etymological,metaphysics,Quintilian,nature
The relationship between natura and knowledge is explored in Seneca's work.,natura,latin,etymological,philosophy,Seneca,nature
The relationship between natura and nature is explored in Quintilian's work.,natura,latin,etymological,philosophy,Quintilian,nature
"The essence of natura manifests in form, as Augustine demonstrates.",natura,latin,etymological,metaphysics,Augustine,nature
"The essence of natura manifests in causation, as Boethius demonstrates.",natura,latin,etymological,metaphysics,Boethius,nature
The nature of natura plays a central role in Augustine's theory of reality.,natura,latin,etymological,philosophy,Augustine,nature
The nature of natura plays a central role in Cicero's theory of being.,natura,latin,etymological,philosophy,Cicero,nature
The nature of natura plays a central role in Boethius's theory of truth.,natura,latin,etymological,philosophy,Boethius,nature
The relationship between natura and mind is explored in Marcus Aurelius's work.,natura,latin,etymological,philosophy,Marcus Aurelius,nature
"In considering nature, Augustine argues that natura is fundamental to understanding reality.",natura,latin,etymological,philosophy,Augustine,nature
Boethius shows how natura transcends mere plurality.,natura,latin,etymological,metaphysics,Boethius,nature
Marcus Aurelius shows how natura transcends mere causation.,natura,latin,etymological,metaphysics,Marcus Aurelius,nature
Seneca's analysis reveals natura as the foundation of substance.,natura,latin,etymological,metaphysics,Seneca,nature
The nature of natura plays a central role in Boethius's theory of soul.,natura,latin,etymological,philosophy,Boethius,nature
Marcus Aurelius defines natura as the principle underlying nature.,natura,latin,etymological,philosophy,Marcus Aurelius,nature
"The essence of natura manifests in substance, as Boethius demonstrates.",natura,latin,etymological,metaphysics,Boethius,nature
"When discussing justice, Seneca emphasizes how natura relates to human knowledge.",natura,latin,etymological,philosophy,Seneca,nature
Quintilian shows how natura transcends mere time.,natura,latin,etymological,metaphysics,Quintilian,nature
Lucretius's analysis reveals natura as the foundation of unity.,natura,latin,etymological,metaphysics,Lucretius,nature
Cicero shows how natura transcends mere substance.,natura,latin,etymological,metaphysics,Cicero,nature
"Through natura, we can understand the true nature of substance.",natura,latin,etymological,metaphysics,Seneca,nature
"Through natura, we can understand the true nature of space.",natura,latin,etymological,metaphysics,Augustine,nature
The relationship between natura and truth is explored in Lactantius's work.,natura,latin,etymological,philosophy,Lactantius,nature
Augustine shows how natura transcends mere substance.,natura,latin,etymological,metaphysics,Augustine,nature
Macrobius's analysis reveals natura as the foundation of causation.,natura,latin,etymological,metaphysics,Macrobius,nature
Lactantius defines natura as the principle underlying reality.,natura,latin,etymological,philosophy,Lactantius,nature
"The essence of natura manifests in space, as Cicero demonstrates.",natura,latin,etymological,metaphysics,Cicero,nature
"Through natura, we can understand the true nature of unity.",natura,latin,etymological,metaphysics,Seneca,nature
"In considering reality, Cicero argues that natura is fundamental to understanding reality.",natura,latin,etymological,philosophy,Cicero,nature
Marcus Aurelius's analysis reveals natura as the foundation of plurality.,natura,latin,etymological,metaphysics,Marcus Aurelius,nature
Lactantius shows how natura transcends mere plurality.,natura,latin,etymological,metaphysics,Lactantius,nature
The nature of natura plays a central role in Lucretius's theory of justice.,natura,latin,etymological,philosophy,Lucretius,nature
The relationship between natura and soul is explored in Marcus Aurelius's work.,natura,latin,etymological,philosophy,Marcus Aurelius,nature
"When discussing truth, Marcus Aurelius emphasizes how natura relates to human knowledge.",natura,latin,etymological,philosophy,Marcus Aurelius,nature
Quintilian shows how natura transcends mere plurality.,natura,latin,etymological,metaphysics,Quintilian,nature
"When discussing soul, Augustine emphasizes how natura relates to human knowledge.",natura,latin,etymological,philosophy,Augustine,nature
"In considering being, Lactantius argues that natura is fundamental to understanding reality.",natura,latin,etymological,philosophy,Lactantius,nature
Boethius shows how natura transcends mere substance.,natura,latin,etymological,metaphysics,Boethius,nature
Lactantius shows how natura transcends mere plurality.,natura,latin,etymological,metaphysics,Lactantius,nature
"Through natura, we can understand the true nature of plurality.",natura,latin,etymological,metaphysics,Cicero,nature
"The essence of natura manifests in essence, as Cicero demonstrates.",natura,latin,etymological,metaphysics,Cicero,nature
Boethius defines natura as the principle underlying truth.,natura,latin,etymological,philosophy,Boethius,nature
Cicero shows how natura transcends mere plurality.,natura,latin,etymological,metaphysics,Cicero,nature
Boethius defines natura as the principle underlying reality.,natura,latin,etymological,philosophy,Boethius,nature
The nature of natura plays a central role in Cicero's theory of justice.,natura,latin,etymological,philosophy,Cicero,nature
"The essence of οὐσία manifests in time, as Zeno demonstrates.",οὐσία,greek,etymological,metaphysics,Zeno,"essence, substance"
"The essence of οὐσία manifests in plurality, as Zeno demonstrates.",οὐσία,greek,etymological,metaphysics,Zeno,"essence, substance"
The metaphysical status of οὐσία determines our grasp of matter.,οὐσία,greek,etymological,metaphysics,Heraclitus,"essence, substance"
"The essence of οὐσία manifests in plurality, as Pythagoras demonstrates.",οὐσία,greek,etymological,metaphysics,Pythagoras,"essence, substance"
Chrysippus shows how οὐσία transcends mere existence.,οὐσία,greek,etymological,metaphysics,Chrysippus,"essence, substance"
"The essence of οὐσία manifests in plurality, as Zeno demonstrates.",οὐσία,greek,etymological,metaphysics,Zeno,"essence, substance"
The metaphysical status of οὐσία determines our grasp of essence.,οὐσία,greek,etymological,metaphysics,Aristotle,"essence, substance"
The metaphysical status of οὐσία determines our grasp of space.,οὐσία,greek,etymological,metaphysics,Pythagoras,"essence, substance"
The metaphysical status of οὐσία determines our grasp of causation.,οὐσία,greek,etymological,metaphysics,Parmenides,"essence, substance"
"The essence of οὐσία manifests in matter, as Plotinus demonstrates.",οὐσία,greek,etymological,metaphysics,Plotinus,"essence, substance"
Zeno's analysis reveals οὐσία as the foundation of essence.,οὐσία,greek,etymological,metaphysics,Zeno,"essence, substance"
"Through οὐσία, we can understand the true nature of space.",οὐσία,greek,etymological,metaphysics,Democritus,"essence, substance"
Epicurus's analysis reveals οὐσία as the foundation of plurality.,οὐσία,greek,etymological,metaphysics,Epicurus,"essence, substance"
"The essence of οὐσία manifests in plurality, as Plato demonstrates.",οὐσία,greek,etymological,metaphysics,Plato,"essence, substance"
Plato's analysis reveals οὐσία as the foundation of substance.,οὐσία,greek,etymological,metaphysics,Plato,"essence, substance"
Aristotle shows how οὐσία transcends mere matter.,οὐσία,greek,etymological,metaphysics,Aristotle,"essence, substance"
The metaphysical status of οὐσία determines our grasp of plurality.,οὐσία,greek,etymological,metaphysics,Chrysippus,"essence, substance"
Heraclitus's analysis reveals οὐσία as the foundation of matter.,οὐσία,greek,etymological,metaphysics,Heraclitus,"essence, substance"
Plato shows how οὐσία transcends mere plurality.,οὐσία,greek,etymological,metaphysics,Plato,"essence, substance"
"The essence of οὐσία manifests in plurality, as Aristotle demonstrates.",οὐσία,greek,etymological,metaphysics,Aristotle,"essence, substance"
"The essence of οὐσία manifests in essence, as Aristotle demonstrates.",οὐσία,greek,etymological,metaphysics,Aristotle,"essence, substance"
Epicurus's analysis reveals οὐσία as the foundation of unity.,οὐσία,greek,etymological,metaphysics,Epicurus,"essence, substance"
The metaphysical status of οὐσία determines our grasp of unity.,οὐσία,greek,etymological,metaphysics,Plotinus,"essence, substance"
"Through οὐσία, we can understand the true nature of time.",οὐσία,greek,etymological,metaphysics,Epicurus,"essence, substance"
